*k1	k2	time	date	store
1.000000	7.000000	381.000916	2001-01-15 19:00:00 -0500	1.954064
1.000000	7.000000	382.000977	2001-01-16 19:00:00 -0500	1.200088
1.000000	7.000000	383.001038	2001-01-17 19:00:00 -0500	0.723951
1.000000	7.000000	384.001099	2001-01-18 19:00:00 -0500	0.429677
1.000000	7.000000	385.001160	2001-01-19 19:00:00 -0500	0.251270
1.000000	9.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
1.000000	9.000000	367.000061	2001-01-01 19:00:00 -0500	90.438210
1.000000	9.000000	368.000122	2001-01-02 19:00:00 -0500	81.788406
1.000000	9.000000	369.000183	2001-01-03 19:00:00 -0500	73.893913
1.000000	9.000000	370.000244	2001-01-04 19:00:00 -0500	66.323097
1.000000	9.000000	371.000305	2001-01-05 19:00:00 -0500	58.400276
1.000000	9.000000	372.000366	2001-01-06 19:00:00 -0500	49.699806
1.000000	9.000000	373.000427	2001-01-07 19:00:00 -0500	40.414749
1.000000	9.000000	374.000488	2001-01-08 19:00:00 -0500	31.227993
1.000000	9.000000	375.000549	2001-01-09 19:00:00 -0500	22.909952
1.000000	9.000000	376.000610	2001-01-10 19:00:00 -0500	15.992313
1.000000	9.000000	377.000671	2001-01-11 19:00:00 -0500	10.659941
1.000000	9.000000	378.000732	2001-01-12 19:00:00 -0500	6.812611
1.000000	9.000000	379.000793	2001-01-13 19:00:00 -0500	4.191180
1.000000	9.000000	380.000854	2001-01-14 19:00:00 -0500	2.491479
1.000000	9.000000	381.000916	2001-01-15 19:00:00 -0500	1.436008
1.000000	9.000000	382.000977	2001-01-16 19:00:00 -0500	0.804921
1.000000	9.000000	383.001038	2001-01-17 19:00:00 -0500	0.439957
1.000000	9.000000	384.001099	2001-01-18 19:00:00 -0500	0.235046
1.000000	9.000000	385.001160	2001-01-19 19:00:00 -0500	0.122994
3.000000	1.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
3.000000	1.000000	367.000061	2001-01-01 19:00:00 -0500	90.180923
3.000000	1.000000	368.000122	2001-01-02 19:00:00 -0500	80.026611
3.000000	1.000000	369.000183	2001-01-03 19:00:00 -0500	69.418137
3.000000	1.000000	370.000244	2001-01-04 19:00:00 -0500	58.838799
3.000000	1.000000	371.000305	2001-01-05 19:00:00 -0500	48.821335
3.000000	1.000000	372.000366	2001-01-06 19:00:00 -0500	39.752430
3.000000	1.000000	373.000427	2001-01-07 19:00:00 -0500	31.838917
3.000000	1.000000	374.000488	2001-01-08 19:00:00 -0500	25.137165
3.000000	1.000000	375.000549	2001-01-09 19:00:00 -0500	19.598942
3.000000	1.000000	376.000610	2001-01-10 19:00:00 -0500	15.114094
3.000000	1.000000	377.000671	2001-01-11 19:00:00 -0500	11.543435
3.000000	1.000000	378.000732	2001-01-12 19:00:00 -0500	8.741259
3.000000	1.000000	379.000793	2001-01-13 19:00:00 -0500	6.569135
3.000000	1.000000	380.000854	2001-01-14 19:00:00 -0500	4.903279
3.000000	1.000000	381.000916	2001-01-15 19:00:00 -0500	3.637545
3.000000	1.000000	382.000977	2001-01-16 19:00:00 -0500	2.683682
3.000000	1.000000	383.001038	2001-01-17 19:00:00 -0500	1.970053
3.000000	1.000000	384.001099	2001-01-18 19:00:00 -0500	1.439606
3.000000	1.000000	385.001160	2001-01-19 19:00:00 -0500	1.047606
3.000000	3.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
3.000000	3.000000	367.000061	2001-01-01 19:00:00 -0500	99.447266
3.000000	3.000000	368.000122	2001-01-02 19:00:00 -0500	95.828178
3.000000	3.000000	369.000183	2001-01-03 19:00:00 -0500	88.279045
3.000000	3.000000	370.000244	2001-01-04 19:00:00 -0500	77.656044
3.000000	3.000000	371.000305	2001-01-05 19:00:00 -0500	65.452377
3.000000	3.000000	372.000366	2001-01-06 19:00:00 -0500	53.106850
3.000000	3.000000	373.000427	2001-01-07 19:00:00 -0500	41.676670
3.000000	3.000000	374.000488	2001-01-08 19:00:00 -0500	31.768600
3.000000	3.000000	375.000549	2001-01-09 19:00:00 -0500	23.608360
3.000000	3.000000	376.000610	2001-01-10 19:00:00 -0500	17.157753
3.000000	3.000000	377.000671	2001-01-11 19:00:00 -0500	12.227501
3.000000	3.000000	378.000732	2001-01-12 19:00:00 -0500	8.564010
3.000000	3.000000	379.000793	2001-01-13 19:00:00 -0500	5.906236
3.000000	3.000000	380.000854	2001-01-14 19:00:00 -0500	4.017428
3.000000	3.000000	381.000916	2001-01-15 19:00:00 -0500	2.698968
3.000000	3.000000	382.000977	2001-01-16 19:00:00 -0500	1.793014
3.000000	3.000000	383.001038	2001-01-17 19:00:00 -0500	1.179126
3.000000	3.000000	384.001099	2001-01-18 19:00:00 -0500	0.768286
3.000000	3.000000	385.001160	2001-01-19 19:00:00 -0500	0.496383
3.000000	5.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
3.000000	5.000000	367.000061	2001-01-01 19:00:00 -0500	99.717133
3.000000	5.000000	368.000122	2001-01-02 19:00:00 -0500	97.644478
3.000000	5.000000	369.000183	2001-01-03 19:00:00 -0500	92.495331
3.000000	5.000000	370.000244	2001-01-04 19:00:00 -0500	83.872139
3.000000	5.000000	371.000305	2001-01-05 19:00:00 -0500	72.431053
3.000000	5.000000	372.000366	2001-01-06 19:00:00 -0500	59.542957
3.000000	5.000000	373.000427	2001-01-07 19:00:00 -0500	46.705685
